"Year"	"P"	"R"	"L"	"G"	"F"	"T"	"Cluster"	"Silhouette"	"Silhouette_neighbor"
2006	-0.123214974913161	0.0828670729918439	0.446256271709765	0.0950804162724693	0.798907333473419	0	"F+"	0.187058532824133	"R- P- L+"
2006	0.0680897054850041	0.0782919701661796	0.449338016752229	0.34784	0.190340006355259	0	"L+ G+"	0.0811863337955144	"Unnamed"
2006	0.0481618694784839	0.0423254109442898	0.542889712168709	0	0.393364928909953	0.024330900243309	"Unnamed"	0.28043405266923	"F+"
2006	0.0555555555555556	0.0470368476480869	0.321522309711286	0	0.498301245753114	0	"F+"	0.0653535481293426	"Unnamed"
2006	NA	NA	NA	NA	NA	NA	"InfNaNNA"	NA	NA
2006	0.0753138075313808	0.0827126458336473	0.429567642956764	0	0.0692534381139489	0	"Unnamed"	0.450646879099207	"P+ L-"
2006	0.0608317815021726	0.0521631249552138	0.558659217877095	0	0.0467511885895404	0	"Unnamed"	0.505005635576652	"L+ G+"
2006	0.00604026845637584	0.00257709055363014	1.0420581655481	0	0.100504002371776	0	"Unnamed"	0.223423110659812	"L+ G+"
2006	0.174603174603175	0.111651448987694	0.600732600732601	0.512667660208644	0.242352941176471	0	"L+ G+"	0.34266515403975	"Unnamed"
2006	0.0978473581213307	0.097544785091103	0.215264187866928	0.380216383307573	0.020997375328084	0	"P+ L-"	-0.0388574718530328	"L+ G+"
2006	0.0638297872340425	0.0654700548915409	0.48936170212766	0	0	0	"Unnamed"	0.475956986408676	"P+ L-"
2006	0.0880325260738908	0.0778977958400793	0.479936362029344	0.0261502813637868	0.674260166063445	0	"F+"	0.346785625395391	"Unnamed"
2006	-0.0153846153846154	-0.0501844678387705	0.418461538461538	0.0466582597730139	0.398428731762065	0	"R- P- L+"	-0.223537580793874	"Unnamed"
2006	0.0655409273039496	0.0867828888243671	0.311963365769891	0.0147540983606557	0.386503067484663	0.000831255195344971	"Unnamed"	0.187852659556444	"F+"
2006	NA	NA	NA	NA	NA	NA	"InfNaNNA"	NA	NA
